time v(Dat1) v(Dat2)
0 -4.57908389E-18 -3.56624238E-18
1E-13 -4.54452388E-18 -3.12519606E-18
2E-13 -3.68227194E-18 7.6709775E-18
4E-13 -1.49470723E-17 -1.68105073E-16
8E-13 -2.5348363E-18 2.09834241E-16
1.6E-12 8.69696121E-18 -6.44458757E-16
3.2E-12 1.24736803E-16 -2.76449893E-16
6.4E-12 6.81997173E-16 -2.53643352E-16
1.28E-11 7.78104417E-16 2.17825477E-16
2.28E-11 1.32751202E-15 -1.26428033E-16
3.28E-11 1.10804092E-15 5.26051649E-17
4.28E-11 1.36216605E-15 -7.99045664E-17
5.28E-11 1.30449414E-15 2.18279078E-16
6.28E-11 1.76709928E-15 3.7324414E-16
7.28E-11 1.89765862E-15 6.29639292E-16
8.28E-11 1.86599846E-15 1.45648906E-16
9.28E-11 1.84840679E-15 2.16679612E-16
1.028E-10 1.94214831E-15 7.43705471E-17
1.128E-10 1.94482692E-15 -2.64786369E-17
1.228E-10 1.94750053E-15 1.08511823E-15
1.328E-10 1.7695747E-15 2.14590449E-15
1.428E-10 1.80834465E-15 2.24633745E-15
1.528E-10 1.83000322E-15 2.42380396E-15
1.628E-10 1.88100242E-15 2.32181086E-15
1.728E-10 1.78047948E-15 2.34850115E-15
1.828E-10 1.7531081E-15 2.25914387E-15
1.928E-10 1.67406413E-15 2.28993077E-15
2.028E-10 1.72791084E-15 2.24933116E-15
2.128E-10 1.75160868E-15 2.38944742E-15
2.228E-10 1.80754808E-15 2.27339848E-15
2.328E-10 1.79015985E-15 2.30222599E-15
2.428E-10 1.82064854E-15 2.2034607E-15
2.528E-10 1.88255605E-15 2.36665841E-15
2.628E-10 1.97440963E-15 2.40660622E-15
2.728E-10 2.03283627E-15 2.52359041E-15
2.828E-10 2.04577069E-15 2.49231746E-15
2.928E-10 2.00958629E-15 2.51254364E-15
3.028E-10 2.00967266E-15 2.52412855E-15
3.128E-10 1.96511587E-15 2.52065277E-15
3.228E-10 1.97051081E-15 2.47804544E-15
3.328E-10 1.96239215E-15 2.42736378E-15
3.428E-10 1.98733766E-15 2.38056919E-15
3.528E-10 1.98165912E-15 2.3587531E-15
3.628E-10 2.04906174E-15 2.2314364E-15
3.728E-10 1.91774406E-15 2.34477943E-15
3.828E-10 1.96836936E-15 2.319401E-15
3.928E-10 2.00934015E-15 2.38872181E-15
4.028E-10 2.08903945E-15 2.26459266E-15
4.128E-10 2.09027486E-15 2.35080702E-15
4.228E-10 2.05632008E-15 2.17353287E-15
4.328E-10 2.16420313E-15 2.47404079E-15
4.428E-10 2.14566733E-15 2.30190263E-15
4.528E-10 2.22629451E-15 2.50078456E-15
4.628E-10 1.49868139E-15 1.72931967E-15
4.728E-10 9.19009026E-16 1.27393181E-15
4.828E-10 7.0535725E-16 6.50432997E-16
4.928E-10 3.97607308E-16 8.96423287E-17
5.028E-10 6.83389827E-16 1.80493972E-16
5.128E-10 2.57505764E-16 
5.228E-10 8.84090804E-17 
5.328E-10 -6.31482046E-17 
5.428E-10  
5.528E-10  
5.628E-10  
5.728E-10  
5.828E-10  
5.928E-10  
6.028E-10 -8.71400819E-17 
6.128E-10 4.13502776E-16 3.70784491E-16
6.228E-10 1.32364425E-16 
